Gem Name,Download Count
"elasticsearch-transport",9762657
"pkg-config",9748443
"haml-rails",9746241
"elasticsearch",9744010
"mixlib-log",9706526
"fog-serverlove",9676273
"ethon",9651474
"ruby-hmac",9550537
"httpi",9547665
"money",9444100
"hiredis",9347371
"mixlib-config",9343904
"active_model_serializers",9235858
"fog-riakcs",9198838
"ansi",9147661
"rails_stdout_logging",9013658
"msgpack",8991620
"delayed_job",8958242
"sfl",8929938
"passenger",8916937
"akami",8898501
"googleauth",8835510
"rails_serve_static_assets",8820145
"state_machine",8801217
"bourbon",8785515
"log4r",8783637
"net-telnet",8756939
"chef",8684900
"wasabi",8677837
"mixlib-authentication",8632537
"test-unit",8609079
"fog-powerdns",8600932
"savon",8587768
"nenv",8547307
"extlib",8545447
"ruby-prof",8519730
"quiet_assets",8470950
"os",8468423
"notiffany",8444470
"redis-store",8409863
"activerecord-deprecated_finders",8390919
"dotenv-rails",8313871
"spoon",8294142
"rails_12factor",8287723
"mysql",8286474
"actioncable",8240562
"omniauth-facebook",8211405
"rouge",8193183
"parseconfig",8190178
"debugger-linecache",8183897
"xcodeproj",8103077
"sentry-raven",8077041
"sshkit",8027817
"macaddr",8014494
"net-ssh-multi",7996963
"ci_reporter",7982484
"redis-activesupport",7976684
"brakeman",7907023
"uber",7883269
"gli",7862229
"rbvmomi",7735457
"geocoder",7728733
"mustache",7726056
"shellany",7691843
"redis-rack",7687069
"uuid",7672711
"cocoapods",7667315
"slack-notifier",7646101
"compass-rails",7626051
"redis-actionpack",7611410
"right_aws",7589013
"parallel_tests",7534296
"simple_oauth",7486868
"bson_ext",7456737
"omniauth-google-oauth2",7447895
"cancan",7446540
"amq-protocol",7437579
"posix-spawn",7404680
"liquid",7388543
"redis-rails",7384403
"spring-commands-rspec",7381031
"mechanize",7368551
"minitar",7344484
"bullet",7343750
"git",7281569
"restforce",7245842
"ttfunk",7237058
"uniform_notifier",7205889
"sanitize",7199296
"plist",7197504
"cocoapods-core",7195150
"paper_trail",7161165
"fog-dynect",7151188
"guard-compat",7095246
"browser",7039762
"delayed_job_active_record",6985169
"knapsack",6964677
"require_all",6947470
"representable",6904242
"formtastic",6886041
"abstract",6865462
"autoparse",6826515
"has_scope",6788178
"stringex",6772200
"http",6764173
"right_http_connection",6761537
"rspec_junit_formatter",6761159
"curb",6760596
"claide",6753886
"astrolabe",6749694
"ransack",6716652
"net-http-digest_auth",6640244
"mono_logger",6626055
"cucumber-rails",6559079
"debugger-ruby_core_source",6548671
"archive-tar-minitar",6537584
"json-schema",6527626
"letter_opener",6525398
"select2-rails",6518831
"acts-as-taggable-on",6500907
"paranoia",6472784
"docker-api",6457802
"acts_as_list",6438557
"capybara-screenshot",6366617
"dpl",6325244
"activerecord-import",6286263
"webrobots",6276805
"puppet-lint",6267830
"lograge",6234433
"ruby-ole",6225255
"sys-proctable",6221603
"spreadsheet",6180798
"moneta",6175871
"premailer",6174855
"friendly_id",6140814
"rubyntlm",6124556
"RedCloth",6119756
"prawn",6118841
"molinillo",6110413
"daemon_controller",6101241
"rack-accept",6095214
"rvm",6080871
"cancancan",6065441
"pmap",6064938
"resque-scheduler",6054775
"escape",6032319
"email_spec",6024499
"grape",5994081
"inherited_resources",5963368
"cocoapods-downloader",5942185
"fattr",5885691
"ruby2ruby",5850588
"omniauth-oauth",5850125
"mongoid",5848093
"deep_merge",5836438
"ffaker",5823552
"hpricot",5810150
"chef-sugar",5805199
"less",5790473
"power_assert",5774643
"ntlm-http",5762283
"twilio-ruby",5744851
"salesforce_bulk_query",5739175
"busser",5709215
"fog-openstack",5700294
"keystore",5655231
"cocoapods-trunk",5610599
"turbolinks-source",5557313
"hipchat",5550360
"hirb",5502396
"fog-vsphere",5480636
"twitter",5439952
"countries",5411972
"stripe",5349237
"draper",5346372
"commonjs",5343751
"rabl",5341299
"libxml-ruby",5306565
"omniauth-twitter",5298521
"encryptor",5294401
"nap",5290256
"fog-xenserver",5276419
"pdf-reader",5276402
"cucumber-core",5262346
"fog-aliyun",5253661
"rack-attack",5211785
"Ascii85",5209113
"rails-observers",5203595
"text",5189471
"cocoapods-try",5118744
"em-websocket",5110074
"dogapi",5100761
"inspec",5097800
"codeclimate-test-reporter",5081030
"gooddata-dss-jdbc",5058235
"aasm",5048741
"celluloid-io",5005577
"httpauth",5002782
"ruby-rc4",5001249
"puppetlabs_spec_helper",4992143
"coveralls",4985250
"fuubar",4976310
"annotate",4968723
"gettext",4950582
"capistrano-bundler",4943461
"blankslate",4938840
"commander",4933574
"rollbar",4917114
"memoizable",4897426
"busser-serverspec",4896073
"fastimage",4877508
"premailer-rails",4870601
"locale",4858684
"fast_gettext",4852213
"rspec-collection_matchers",4851453
"less-rails",4845268
"diffy",4826605
"statsd-ruby",4814435
"hashery",4787469
"fog-rackspace",4770792
"rails-i18n",4769608
"rspec-puppet",4757059
"test_after_commit",4739260
"rack-contrib",4717813
"aws-s3",4695387
"capybara-webkit",4691590
"em-http-request",4675914
"capistrano-rails",4675498
"gooddata_datawarehouse",4670907
"useragent",4652199
"chef-zero",4646416
"spork",4642283
"shoulda",4631896
"shoulda-context",4628437
"hoe",4627753
"debugger",4600830
"gon",4597978
"currencies",4590531
"cocoapods-plugins",4573527
"clamp",4512276
"get_process_mem",4504392
"koala",4498948
"ruby-openid",4475818
"fuzzy_match",4454859
"fpm",4453612
"jekyll",4417103
"http-form_data",4410713
"babosa",4405258
"doorkeeper",4402991
"html2haml",4386572
"puppet-syntax",4371000
"cookiejar",4363071
"jasmine-core",4353620
"origin",4345507
"attr_encrypted",4337558
"subexec",4334800
"eventmachine_httpserver",4277402
"ruby_dep",4267498
"jruby-openssl",4263199
"phantomjs",4262079
"pry-stack_explorer",4259083
"activemerchant",4216955
"gem-empty",4202810
"settingslogic",4181813
"nested_form",4175448
"em-socksify",4151344
"arbre",4145305
"afm",4144187
"scss_lint",4138761
"protected_attributes",4109903
"train",4082560
"roo",4078141
"unicorn-worker-killer",4075964
"ffi-yajl",4067762
"i18n_data",4038352
"bundler-audit",4022814
"recaptcha",4004764
"rack-mini-profiler",3994376
"pundit",3993236
"unicode_utils",3982563
"honeybadger",3981295
"session",3974641
"ruby-graphviz",3963329
"rdiscount",3960364
"geoip",3958198
"slim-rails",3952053
"rush",3913685
"cocoapods-stats",3889132
"pry-remote",3887782
"stomp",3874823
"sys-cpu",3865961
"mustermann",3859900
"sys-filesystem",3852475
"ruby-saml",3805919
"fastlane",3804909
"libyajl2",3802973
"exception_notification",3784327
"faye-websocket",3782762
"hiera-dyml",3772005
"monetize",3767639
"rqrcode",3737506
"ruby-ip",3725891
"cucumber-wire",3725107
"fastthread",3722663
"escape_utils",3690979
"remotipart",3689453
"tzinfo-data",3678240
"simplecov-rcov",3666819
"yui-compressor",3662370
"wicked_pdf",3648291
"foreman-upstart-scaling",3615953
"grape-entity",3610929
"babel-source",3602323
"sinatra-contrib",3592378
"hurley",3591102
"naught",3590672
"capistrano-ext",3590523
"rotp",3584305
"pry-nav",3569266
"rspec-retry",3566232
"xcpretty",3548321
"figaro",3544958
"buftok",3519338
"geokit",3503387
"braintree",3502219
"dynamic_form",3496093
"puppet_forge",3484132
"retryable",3467790
"sensu-plugin",3467666
"rack-timeout",3467347
"charlock_holmes",3462740
"colorator",3457270
"flay",3444195
"headless",3439895
"chef-vault",3420810
"cocoapods-search",3408876
"semantic_puppet",3404793
"inifile",3394891
"rb-readline",3394083
"rack-oauth2",3392492
"pry-doc",3385700
"attr_required",3368195
"pusher",3360923
"celluloid-supervision",3359914
"gem-wrappers",3350891
"rack-openid",3345955
"wmi-lite",3324557
"logstash-event",3322273
"rinku",3312124
"babel-transpiler",3311647
"twitter-bootstrap-rails",3295189
"moped",3285099
"elasticsearch-model",3279398
"awesome_nested_set",3272987
"sqlite3-ruby",3264836
"pdf-core",3257293
"sitemap_generator",3256765
"chef-rewind",3247544
"iso_country_codes",3242149
"underscore-rails",3228965
"jasmine",3219733
"gettext-setup",3214614
"wkhtmltopdf-binary",3205088
"ZenTest",3194562
"jquery-turbolinks",3194092
"celluloid-essentials",3193556
"celluloid-extras",3176880
"celluloid-fsm",3175690
"celluloid-pool",3174653
"rubocop-rspec",3168529
"fog-cloudatcost",3167268
"i18n-js",3166578
"crass",3141282
"logger",3131532
"bugsnag",3114563
"guard-livereload",3113522
"jekyll-sass-converter",3106675
"parslet",3098240
"mercenary",3094496
"axlsx",3091403
"heroku",3088692
"cabin",3087052
"to_bool",3084521
"state_machines",3078496
"font-awesome-sass",3077656
"meta_request",3070050
"choice",3039108
"foreigner",3037445
"spring-watcher-listen",3009361
"stackprof",3006819
"rails_autolink",3001338
"momentjs-rails",2995229
"cri",2978350
"heroku-api",2972494
"pygments.rb",2964712
"data_objects",2956650
"jekyll-watch",2955098
"rb-kqueue",2947825
"rake-compiler",2938574
"chef-handler-datadog",2937307
"scrolls",2931823
"resque-retry",2923140
"fast-stemmer",2919681
"ejs",2917952
"psych",2914308
"state_machines-activemodel",2914007
"activerecord-session_store",2903093
"asset_sync",2900992
"algorithms",2888853
"net-ping",2884981
"nokogumbo",2880921
"rugged",2866289
"r10k",2856355
"bundle",2855226
"airbrussh",2846273
"active_utils",2843636
"arr-pm",2825053
"dm-core",2823618
"callsite",2816508
"ridley",2816194
"sixarm_ruby_unaccent",2813583
"ice_cube",2800401
"benchmark-ips",2798431
"rvm-capistrano",2784312
"minitest-reporters",2772458
"state_machines-activerecord",2756719
"omniauth-github",2756490
"roadie",2740785
"rsolr",2736617
"github-markup",2731537
"authlogic",2731249
"stud",2725322
"seed-fu",2718026
"dogstatsd-ruby",2713499
"socksify",2704318
"thread",2701585
"nanaimo",2698385
"rails_best_practices",2696070
"elasticsearch-rails",2674476
"bluepill",2670867
"chef-handler-graphite",2665977
"timeliness",2664688
"rails-erd",2664267
"devise_invitable",2661706
"ancestry",2660633
"open_uri_redirections",2653413
"formtastic_i18n",2649969
"watir-webdriver",2648503
"mailcatcher",2645238
"rest_client",2631290
"libwebsocket",2621526
"pdfkit",2599401
"maruku",2585591
"fourflusher",2574356
"dm-migrations",2571692
"gh_inspector",2562858
"Platform",2562713
"pony",2561781
"fakeweb",2556741
"rspec-activemodel-mocks",2554926
"declarative",2550796
"skinny",2545781
"chef-config",2526434
"syntax",2522327
"activeadmin",2521751
"http_accept_language",2511119
